Maths,Physics,Chemistry,biology,Computer,Course
70,72,75,0,95,Computer
70,71,74,0,92,Computer
69,72,73,0,94,Computer
69,71,72,0,95,Computer
68,70,74,0,93,Computer
70,72,74,94,0,Biology
71,72,74,95,0,Biology
71,72,74,94,0,Biology
69,73,74,97,0,Biology
69,78,74,97,0,Biology
70,67,97,0,65,Chemistry
71,68,96,0,66,Chemistry
72,69,95,0,64,Chemistry
73,70,99,0,67,Chemistry
69,68,94,0,68,Chemistry
67,98,67,67,0,Physics
68,90,60,56,0,Physics
68,91,59,67,0,Physics
70,95,61,50,0,Physics
69,94,62,67,0,Physics
99,51,55,0,55,Maths
98,52,56,0,55,Maths
97,50,53,0,58,Maths
96,55,57,0,59,Maths
95,56,63,0,60,Maths
