Maths,Physics,Chemistry,Botany,Zoology,Course
75,82,68,75,80,Computer
90,88,75,78,85,Maths
80,75,70,85,88,Physics
65,70,78,80,72,Botany
78,82,88,90,85,Zology
92,95,88,80,78,IT
85,78,70,65,72,Computer
70,68,75,82,90,Maths
75,80,85,78,70,Physics
82,75,72,90,88,Botany
88,75,82,78,85,Zology
78,82,80,75,72,IT
65,70,75,80,78,Computer
90,88,85,78,82,Maths
75,80,78,85,90,Physics
82,75,85,90,78,Botany
88,75,85,90,82,Zology
78,82,75,72,70,IT
72,75,78,80,85,Computer
85,88,80,78,75,Maths
