Maths,Physics,Chemistry,biology,Computer,Commerce,Economic,Course
70,72,75,0,95,0,0,Computer
70,71,74,0,92,0,0,Computer
69,72,73,0,94,0,0,Computer
69,71,72,0,95,0,0,Computer
68,70,74,0,93,0,0,Computer
70,72,74,94,0,0,0,Biology
71,72,74,95,0,0,0,Biology
71,72,74,94,0,0,0,Biology
69,73,74,97,0,0,0,Biology
69,78,74,97,0,0,0,Biology
70,67,97,0,65,0,0,Chemistry
71,68,96,0,66,0,0,Chemistry
72,69,95,0,64,0,0,Chemistry
73,70,99,0,67,0,0,Chemistry
69,68,94,0,68,0,0,Chemistry
67,98,67,67,0,0,0,Physics
68,90,60,56,0,0,0,Physics
68,91,59,67,0,0,0,Physics
70,95,61,50,0,0,0,Physics
69,94,62,67,0,0,0,Physics
99,51,55,0,55,0,0,Maths
98,52,56,0,55,0,0,Maths
97,50,53,0,58,0,0,Maths
96,55,57,0,59,0,0,Maths
95,56,63,0,60,0,0,Maths
0,0,0,0,0,67,90,Economic
0,0,0,0,0,66,96,Economic
0,0,0,0,0,65,98,Economic
0,0,0,0,0,66,93,Economic
0,0,0,0,0,68,94,Economic
0,0,0,0,0,90,67,Commerce
0,0,0,0,0,96,66,Commerce
0,0,0,0,0,98,65,Commerce
0,0,0,0,0,93,66,Commerce
0,0,0,0,0,94,68,Commerce
